concepto,monto,fecha,pagado
SUELDO CONTADOR,150.00,,no
IVA CONTADOR,,,no
F 931,,,no
LA ESTRELLA,,,no
SINDICATO,,,no
FAECYS,,,no
INACAP,,,no
APORTE ADICIONAL O. S.,,,no
IIBB,,,no
IVA,,,no
AUTONOMO,,,no
SUELDO FLOR,,,no
SUELDO NACHO,,,no
OBRA SOCIAL ERI,,,no
OBRA SOCIAL JORGE,,,no
OBRA SOCIAL MAGUY,,,no
CELULAR PERSONAL,,,no
TUENTI CELULAR EMPRESA,,,no
TELEFONO 1746,,,no
INTERNET  FLOW,,,no
AGUA,,,no
LUZ,,,no
GAS,,,no
BIDONES OFICINA,,,no
LIMPIEZA OFICINA,,,no
otros/varios,,,no
IMPUESTOS,,,no
varios,,,no
