concepto,monto,fecha,pagado
SUELDO CONTADOR,2578700.00,19/06/2025,si
IVA CONTADOR,,19/06/2025,si
F 931,958506.00,19/06/2025,si
LA ESTRELLA,32556.00,19/06/2025,si
SINDICATO,33897.00,19/06/2025,si
FAECYS,8475.00,19/06/2025,si
INACAP,9137.00,19/06/2025,si
APORTE ADICIONAL O. S.,8000.00,19/06/2025,si
IIBB,949354.00,19/06/2025,si
IVA,,19/06/2025,si
AUTONOMO,95527.00,19/06/2025,si
SUELDO FLOR,731208.00,19/06/2025,si
SUELDO NACHO,726849.00,19/06/2025,si
OBRA SOCIAL ERI,266740.00,19/06/2025,si
OBRA SOCIAL JORGE,760921.00,19/06/2025,si
OBRA SOCIAL MAGUY,,19/06/2025,si
CELULAR PERSONAL,132687.00,19/06/2025,si
TUENTI CELULAR EMPRESA,12000.00,19/06/2025,si
TELEFONO 1746,22209.00,19/06/2025,si
INTERNET FLOW,69400.00,19/06/2025,si
AGUA,27455.00,19/06/2025,si
LUZ,150540.00,19/06/2025,si
GAS,14515.00,19/06/2025,si
BIDONES OFICINA,33200.00,19/06/2025,si
LIMPIEZA OFICINA,,19/06/2025,si
otros/varios,2541385.00,19/06/2025,si
IMPUESTOS,,19/06/2025,si
