concepto,monto,fecha,pagado
F 931,0.00,,no
LA ESTRELLA,0.00,,no
SINDICATO,0.00,,no
FAECYS,0.00,,no
INACAP,0.00,,no
APORTE ADICIONAL O. S.,0.00,,no
IIBB,0.00,,no
IVA,0.00,,no
AUTONOMO,0.00,,no
SUELDO FLOR,0.00,,no
SUELDO NACHO,0.00,,no
OBRA SOCIAL ERI,0.00,,no
OBRA SOCIAL JORGE,0.00,,no
OBRA SOCIAL MAGUY,0.00,,no
CELULAR PERSONAL,0.00,,no
TUENTI CELULAR EMPRESA,0.00,,no
TELEFONO 1746,0.00,,no
INTERNET FLOW,0.00,,no
AGUA,0.00,,no
LUZ,0.00,,no
GAS,0.00,,no
BIDONES OFICINA,0.00,,no
LIMPIEZA OFICINA,0.00,,no
otros/varios,0.00,,no
IMPUESTOS,0.00,,no
SUELDO CONTADOR,0.00,,no
IVA CONTADOR,0.00,,no
